Vertical walls area
Label	VerticalArea
Wall	246192000.00 mm^2
Wall001	113940000.00 mm^2
Wall002	206079999.60 mm^2
Wall003	44959999.20 mm^2
Wall004	31920000.00 mm^2
Wall005	27780000.00 mm^2
Wall006	21360000.00 mm^2
Wall007	5640000.00 mm^2
Footing wall	155960000.00 mm^2
Footing wall001	140637000.55 mm^2
Footing wall002	60165000.00 mm^2
Footing wall003	75319823.70 mm^2
Footing wall004	181920000.00 mm^2


Total vertical walls area
Sum(VerticalArea)
1311873823.05 mm^2


Windows area
Label	Area
Window	0.00 mm^2
Window 200x300	6000000.00 mm^2
Window 195x300	5850000.00 mm^2
Window 197x300	5925000.00 mm^2
Window 102x300	3075000.00 mm^2
Window top 95x90	855000.00 mm^2
Window 100x300 009	3000000.00 mm^2
Window 100x300 008	3000000.00 mm^2
Window 100x300 007	3000000.00 mm^2
Window 100x300 006	3000000.00 mm^2
Window 100x300 005	3000000.00 mm^2
Window 100x300 004	3000000.00 mm^2
Window 100x300 003	3000000.00 mm^2
Window 100x300 002	3000000.00 mm^2
Window 100x300 001	3000000.00 mm^2
Window 100x300 	3000000.00 mm^2
Window 304x300 001	9120000.00 mm^2
Window 309x300 001	9270000.00 mm^2
Window 309x300 	9270000.00 mm^2
Window 304x300 	9120000.00 mm^2
Window 338x300 002	11333310.00 mm^2
Window 338x300 001	11333310.00 mm^2
Window 338x300 	11333310.00 mm^2
Window 33x300 001	990000.00 mm^2
Window top 200x90 	1800000.00 mm^2
Window top 200x90 001	1800000.00 mm^2
Window 33x300 	990000.00 mm^2
Window 89x300 007	2685000.00 mm^2
Window 89x300 006	2685000.00 mm^2
Window 89x300 005	2685000.00 mm^2
Window 89x300 004	2685000.00 mm^2
Window 89x300 003	2685000.00 mm^2
Window 89x300 002	2685000.00 mm^2
Window 89x300 001	2685000.00 mm^2
Window 89x300 	2685000.00 mm^2


Total window area
Sum(Area)
149544930.00 mm^2
